name,family,dim,rms_J,prior_rmse_route1,prior_rmse_route2,rel_value_route1,rel_value_route2,rel_value_route2_direct,value_route2_crosscheck_delta,rel_prox_forward,rel_prox_inverse,psi_val_mse,G_val_mse
concave_quad_4D,concave_quad,4,5.9721316797029225,0.012980402666705752,0.02221096613870393,0.0021734957236159685,0.0037191018768375165,0.0037191018768375174,8.673617379884035e-19,0.003745663699993636,0.019800662939657338,7.953582826303318e-05,0.00025794535758905113
concave_quad_8D,concave_quad,8,11.351318086114631,0.07531430012442333,0.11937759880002968,0.006634850644926485,0.010516628808601262,0.010516628808601262,0.0,0.010056348564995545,0.03846891399498119,0.0033218117896467447,0.008104484528303146
concave_quad_16D,concave_quad,16,21.96395968414966,1.1704845109926751,0.3913228897121335,0.053291142754981376,0.017816591149296842,0.017816591149296842,0.0,0.026771808190322495,0.08181764992686753,0.106308713555336,0.2768714725971222
concave_quad_32D,concave_quad,32,43.3995648478929,4.376598581609682,6.022439454881177,0.10084429641054733,0.13876727741369446,0.13876727741369443,2.7755575615628914e-17,0.07600485059329808,0.223680453048551,2.0676300525665283,4.875699520111084
concave_quad_64D,concave_quad,64,86.43607362791947,37.04360294265078,14.438493319458146,0.428566469852761,0.16704244782810693,0.1670424478281069,2.7755575615628914e-17,0.20719628100501364,0.31448275235055834,41.517940521240234,40.71763229370117
minplus_2D,minplus,2,6.547323201662018,0.011928496760033703,0.010395308261332364,0.0018218890976705855,0.0015877188189966774,0.0015877188189966777,2.168404344971009e-19,0.020973393695436684,0.007021193188955377,2.129703716491349e-05,1.1181939044035971e-05
minplus_4D,minplus,4,11.738450046648095,0.029360146693190876,0.028757806432410254,0.002501194499828761,0.0024498810590945115,0.002449881059094511,4.336808689942018e-19,0.032997470651483375,0.009873273819128886,0.00045463594142347574,0.0005716923042200506
minplus_8D,minplus,8,22.205890399802584,0.09255197100297838,0.08672818509855382,0.004167901819591129,0.0039056387083368136,0.0039056387083368127,8.673617379884035e-19,0.057630111707685554,0.014483595740498852,0.010201925411820412,0.01468559168279171
minplus_16D,minplus,16,43.376357254876204,0.46255121184988407,0.3999955739749546,0.010663671205305878,0.009221511424405944,0.009221511424405948,3.469446951953614e-18,0.1032166505800563,0.0324676820858812,0.30369696021080017,0.5058374404907227
minplus_32D,minplus,32,86.08827705023121,2.9493653180045682,2.9517899481032956,0.03425977867211418,0.03428794313517241,0.03428794313517241,0.0,0.27824280442381166,0.10207005128985845,7.6383795738220215,10.327278137207031
minplus_64D,minplus,64,172.17855681839774,10.102705868349362,12.944357635924773,0.058675749495362604,0.07517984745090879,0.07517984745090879,0.0,0.4527457041298883,0.3129731253559739,67.47406005859375,64.94145202636719
