name,dim,hidden,n_train,steps,query_halfwidth,train_halfwidth,preimage_bound,invert_alpha_best,psi_val_mse,G_val_mse,prior_rmse_route1,prior_rmse_route2,route1_median_prox_residual,route2_median_prox_residual,route1_median_fy_gap,route2_median_fy_gap,route1_max_preimage_linf,route2_max_preimage_linf,route1_preimage_excess,route2_preimage_excess,route1_all_alphas_diverged,route1_diverged_per_alpha,route2_frac_query_uncovered,min_inner_weight,error
negl1_32D,32,256,480000,250000,4.0,4.0,4.0,0.0,0.5351518392562866,2.5637645721435547,2.4658093096783413,2.1383781497026133,0.003195270811200618,0.18204684664402615,2.878000036607304,5.192968624977539,3.680412530899048,3.0127639770507812,0.920103132724762,0.7531909942626953,False,"{0.0: False, 0.1: False}",0.0,0.0,
negl1_64D,64,256,960000,250000,4.0,4.0,4.0,0.1,6.85051965713501,6.234436988830566,12.12848205140101,22.55731389347682,0.045703975316729886,0.2817770148059223,10.58450953304407,16.627758836582494,2.8016281127929688,2.2519352436065674,0.7004070281982422,0.5629838109016418,False,"{0.0: False, 0.1: False}",0.0,0.0,
concave_quad_2D,2,256,30000,250000,4.0,4.0,2.0,0.0,2.494055024726549e-06,5.873826466995524e-06,0.002364033052028497,0.0034275111483040295,0.0008620957651364575,0.007055295740274222,0.0005005924540633089,0.00044464097930019264,1.9599764347076416,2.0045220851898193,0.9799882173538208,1.0022610425949097,False,"{0.0: False, 0.1: False}",0.0,0.0,
concave_quad_4D,4,256,60000,250000,4.0,4.0,2.0,0.0,7.953582826303318e-05,0.00025794535758905113,0.012980402666705752,0.02221096613870393,0.004004310127927331,0.017567061406599388,-0.00041602527115269794,0.0015596495575884717,1.9803911447525024,2.031165361404419,0.9901955723762512,1.0155826807022095,False,"{0.0: False, 0.1: False}",0.0,0.0,
concave_quad_8D,8,256,120000,250000,4.0,4.0,2.0,0.0,0.0033218117896467447,0.008104484528303146,0.07531430012442333,0.11937759880002968,0.006952625019443579,0.03927010032060636,-0.025555952171107066,-0.009483654810066966,2.0293424129486084,2.147414207458496,1.0146712064743042,1.073707103729248,False,"{0.0: False, 0.1: False}",0.0,0.0,
concave_quad_16D,16,256,240000,250000,4.0,4.0,2.0,0.0,0.106308713555336,0.2768714725971222,1.1704845109926751,0.3913228897121335,0.007876906761472919,0.10711315443647049,0.9959369644733584,1.2480753234756286,2.200820207595825,2.225119113922119,1.1004101037979126,1.1125595569610596,False,"{0.0: False, 0.1: False}",0.0,0.0,
concave_quad_32D,32,256,480000,250000,4.0,4.0,2.0,0.0,2.0676300525665283,4.875699520111084,4.376598581609682,6.022439454881177,0.007476818103814757,0.1880475195963444,-1.546544775118278,0.12650495494931135,2.498464822769165,2.94390606880188,1.2492324113845825,1.47195303440094,False,"{0.0: False, 0.1: False}",0.0,0.0,
concave_quad_64D,64,256,960000,250000,4.0,4.0,2.0,0.1,41.517940521240234,40.71763229370117,37.04360294265078,14.438493319458146,0.045965251071508714,0.628715093491545,-22.845148180278727,3.510314790222253,2.7301011085510254,3.4556987285614014,1.3650505542755127,1.7278493642807007,False,"{0.0: False, 0.1: False}",0.0,0.0,
minplus_2D,2,256,30000,250000,4.0,9.0,9.0,0.0,2.129703716491349e-05,1.1181939044035971e-05,0.011928496760033703,0.010395308261332364,7.561540366790722e-06,0.002873868899603305,8.947615642806994e-05,-0.00029786507402818074,8.473998069763184,8.939485549926758,0.9415553410847982,0.9932761722140842,False,"{0.0: False, 0.1: False}",0.0,0.0,
minplus_4D,4,256,60000,250000,4.0,9.0,9.0,0.0,0.00045463594142347574,0.0005716923042200506,0.029360146693190876,0.028757806432410254,0.002396873500163227,0.008506812073711645,0.0004120400706266736,-0.0018055758274506672,8.287375450134277,9.002824783325195,0.9208194944593642,1.0003138648139105,False,"{0.0: False, 0.1: False}",0.0,0.0,
minplus_8D,8,256,120000,250000,4.0,9.0,9.0,0.0,0.010201925411820412,0.01468559168279171,0.09255197100297838,0.08672818509855382,0.007201758567537381,0.017697419885459878,-0.01615892227513882,-0.007734952028641828,8.356992721557617,8.90904426574707,0.9285547468397353,0.98989380730523,False,"{0.0: False, 0.1: False}",0.0,0.0,
minplus_16D,16,256,240000,250000,4.0,9.0,9.0,0.0,0.30369696021080017,0.5058374404907227,0.46255121184988407,0.3999955739749546,0.008647405273511967,0.04979268614606739,-0.13791277540701685,0.07117342481075184,8.455669403076172,8.851118087768555,0.9395188225640191,0.9834575653076172,False,"{0.0: False, 0.1: False}",0.0,0.0,
minplus_32D,32,256,480000,250000,4.0,9.0,9.0,0.0,7.6383795738220215,10.327278137207031,2.9493653180045682,2.9517899481032956,0.008973505331540298,0.14593946620326076,-3.537052360281592,0.5417176833235544,9.737122535705566,9.159690856933594,1.0819025039672852,1.017743428548177,False,"{0.0: False, 0.1: False}",0.0,0.0,
minplus_64D,64,256,960000,250000,4.0,9.0,9.0,0.1,67.47406005859375,64.94145202636719,10.102705868349362,12.944357635924773,0.1454608462646662,0.2889755776265998,-7.5425057780242355,10.661521015889093,8.00096607208252,8.69289779663086,0.8889962302313911,0.9658775329589844,False,"{0.0: True, 0.1: False}",0.0,0.0,
