sampler,d,K,sup_err,rms_err,mean_err
tangent,16,8,38.66021828616633,20.130273669333338,19.29348012499295
tangent,16,16,35.21849763318092,17.569401395674237,16.875962095510904
tangent,16,32,31.704204006779868,15.220526987351628,14.553542297496309
tangent,16,64,28.52889677383328,12.965508146627798,12.38428128041609
tangent,16,128,24.267092457575014,11.16168003111442,10.60215566081168
tangent,16,256,21.93273266205472,9.60638758825724,9.10502906274118
tangent,16,512,21.4204843039433,8.09452045938026,7.633189244660149
tangent,16,1024,16.368620186307428,6.947983624840277,6.535560569697778
tangent,16,2048,14.1403847420797,5.799570898874417,5.411455581689217
tangent,16,4096,12.454476433111289,4.870895191217518,4.529070238193031
